,TechScore,Seniority,Gender,DegreeType,Age,Department_HR,Department_IT,Risk
184,48,16,1,0,77,1,0,0.9999765234461525
185,71,9,1,1,45,0,1,0.22760986975239816
186,75,2,1,1,40,0,1,0.11532465052878137
187,69,13,0,1,80,0,0,0.9967180280322437
188,78,0,0,0,22,0,0,0.03473525859345873
189,76,4,0,1,26,0,1,0.05393368237780126
190,33,2,1,0,45,0,0,0.9927823216831175
191,70,19,0,0,49,0,0,0.4137718612115756
192,67,5,1,1,67,1,0,0.7405324560896112
193,100,0,0,1,26,0,1,0.011795938519212769
194,47,3,0,0,39,1,0,0.5592008122312307
195,24,0,1,0,23,0,0,0.7911876300677027
196,81,14,1,1,80,0,1,0.9162210796519832
197,97,9,1,1,80,0,0,0.3530659964357553
198,53,10,0,1,61,0,1,0.9934558129890703
199,38,6,0,0,44,0,1,0.9893446198304883
200,77,15,0,1,38,1,0,0.10126624616833886
201,78,0,1,1,22,1,0,0.0244775232286362
202,74,5,1,1,59,1,0,0.31643559630434964
203,94,8,0,0,51,0,1,0.09827340544849075
204,64,0,1,0,22,1,0,0.06266199263462591
205,30,0,1,0,22,0,1,0.6081296190985289
206,46,0,1,1,29,1,0,0.2540531507398219
207,89,1,0,1,45,0,1,0.07280283304774324
208,76,17,1,1,69,0,0,0.7231898665350865
209,86,0,1,1,22,0,1,0.019448214734563353
210,98,0,1,1,22,0,0,0.00856560939741907
211,25,0,0,0,35,0,1,0.9940675830364271
212,65,0,1,1,27,0,0,0.08374315661158575
213,89,0,1,1,22,0,1,0.016244514438274755
214,66,0,0,1,22,0,1,0.07136124314416518
215,98,6,1,1,80,1,0,0.26974294776235136
216,46,19,0,0,41,1,0,0.8380509078811037
217,76,0,1,1,22,0,1,0.0354369573255317
218,45,0,0,0,22,1,0,0.2165150570958281
219,28,0,0,0,22,0,0,0.6766537921970363
220,74,5,0,1,33,1,0,0.07353451214189337
221,34,10,0,0,54,1,0,0.9996143557390276
222,58,11,0,1,38,0,1,0.37475462563138995
223,51,3,0,1,58,0,0,0.9725076359375157
224,61,0,1,1,22,0,1,0.08716076377048715
225,48,0,0,0,22,0,1,0.23220491051954098
226,55,0,1,0,22,1,0,0.10752812098805067
227,37,0,1,0,22,1,0,0.31643559630434964
228,70,6,1,0,53,0,0,0.3673856850901893
229,72,14,1,1,80,0,0,0.9882628587457177
230,31,14,1,0,80,0,0,0.9999999664234528
231,56,11,0,0,45,0,1,0.6882816114167376
232,95,0,1,1,22,1,0,0.008826471039632158
233,19,0,1,0,22,0,0,0.9024851434336197
234,61,0,1,1,34,0,1,0.17905955521667122
235,51,8,1,1,46,0,0,0.6882816114167377
236,44,4,0,0,54,0,1,0.9960000676736798
237,90,0,0,1,22,0,1,0.016907465648033297
238,59,0,0,0,22,0,0,0.10860878056073
239,82,3,0,1,36,0,0,0.060810052512160324
240,33,3,1,0,52,1,0,0.9982785865821749
241,45,18,0,0,41,1,0,0.8571079466561109
242,62,7,1,0,29,1,0,0.12368641972409035
243,57,11,1,1,41,1,0,0.335928338384172
244,62,0,0,1,22,1,0,0.0706511881863354
245,85,0,1,1,22,0,0,0.018685639329219867
246,74,0,1,0,27,0,1,0.059605933739461416
247,37,0,1,0,33,0,1,0.746278448194991
248,94,0,0,1,22,0,1,0.013299883541336842
249,77,0,1,1,30,0,0,0.048801215660457364
250,74,0,0,1,53,0,1,0.2835499660749407
251,57,0,1,1,22,0,1,0.11080278824580334
252,72,9,0,1,76,1,0,0.9313007504102581
253,92,6,0,1,57,0,0,0.12492945182515443
254,61,0,1,1,41,0,1,0.2724499198782096
255,66,5,0,1,28,0,0,0.10228397769281868
256,40,1,0,0,80,0,0,0.9999988881010606
257,84,2,1,1,33,1,0,0.0343896370126498
258,85,0,1,1,22,0,1,0.02065082516620104
259,84,9,1,1,40,0,1,0.077304697759209
260,48,0,1,1,26,0,1,0.2416741487470373
261,33,3,0,0,55,1,0,0.9995738490022104
262,60,0,0,0,22,1,0,0.08803673946835368
263,66,9,1,1,35,0,0,0.15258758130739966
264,55,0,1,1,22,1,0,0.09729557742507763
265,78,0,0,1,22,0,1,0.03473525859345873
266,89,0,1,1,22,1,0,0.012651240567185272
267,36,8,0,0,34,1,0,0.8178318741789913
268,55,13,1,1,60,0,0,0.9698677838298122
269,76,10,1,1,41,0,1,0.13533405442761448
270,64,0,1,0,35,0,1,0.17551455335976962
271,20,0,1,0,22,1,0,0.8073394500340797
272,76,0,1,1,22,1,0,0.02759833033487479
273,55,13,0,0,36,1,0,0.35659430976853135
274,86,0,1,1,25,0,1,0.023283740343029605
275,32,0,1,0,22,0,0,0.4936393527113363
276,61,19,0,0,78,0,1,0.9998894198193667
277,6,5,1,0,29,0,0,0.999798564699968
278,77,0,0,1,22,0,1,0.03688316689774027
279,84,12,1,1,39,0,1,0.077304697759209
280,70,0,1,1,29,1,0,0.06020498286825427
281,49,0,0,0,22,0,1,0.21869000258754626
282,76,17,1,1,59,0,0,0.4137718612115756
283,67,12,0,0,44,1,0,0.2751838511960486
284,19,0,0,0,22,0,1,0.9568740723929056
285,68,1,1,1,65,0,0,0.6766537921970366
286,85,0,0,1,76,0,0,0.5230957953250198
287,34,0,1,0,22,1,0,0.3784922889538971
288,58,15,1,0,42,1,0,0.40167886522011137
289,56,0,0,0,22,0,1,0.1437021885064054
290,54,6,1,1,32,1,0,0.2122296937045918
291,84,16,0,1,39,1,0,0.07207843419330633
292,66,11,0,1,66,0,0,0.9162210796519834
293,56,0,1,1,22,0,1,0.11765431252472892
294,41,0,0,0,22,0,0,0.3196054297484027
295,58,8,0,1,67,0,1,0.9940675830364271
296,37,18,0,0,68,0,0,0.9999969775626416
297,94,2,0,1,60,0,1,0.1353340544276145
298,80,14,0,1,43,0,0,0.13002774425825922
299,67,0,0,1,22,0,0,0.060810052512160324
300,42,10,1,1,71,1,0,0.999929482487688
301,70,11,0,0,34,1,0,0.12368641972409035
302,27,0,1,0,22,0,1,0.7115691653278989
303,56,2,1,0,79,0,0,0.9997281482433351
304,59,4,1,1,60,0,0,0.8429302632536112
305,76,3,1,1,28,0,1,0.05393368237780127
306,85,0,1,1,22,1,0,0.016082878819127344
307,63,15,1,0,63,0,1,0.9605179050173694
308,47,13,0,0,36,0,1,0.7115691653278989
309,61,10,1,0,42,0,0,0.3530659964357552
310,56,0,0,0,25,1,0,0.13398751741853457
311,64,0,0,1,22,0,1,0.08045955248743827
312,69,1,1,1,33,0,0,0.09632747844648586
313,59,2,1,1,80,1,0,0.9982785865821749
314,41,18,1,1,45,0,0,0.9749339028718301
315,43,4,0,1,45,0,1,0.9392699658723878
316,55,10,1,0,80,0,0,0.9999329209753193
317,42,1,0,0,42,0,1,0.9162210796519833
318,78,0,1,1,22,0,1,0.03142976182558126
319,35,0,0,1,36,0,0,0.8524610381861583
320,100,0,1,1,22,0,1,0.008395998967421414
321,26,13,0,0,65,1,0,0.9999990429792692
322,77,2,0,1,60,1,0,0.29216801690723426
323,21,0,0,0,39,1,0,0.9980985741791465
324,41,17,0,0,72,0,1,0.9999979739935945
325,71,0,1,1,29,0,0,0.06587473808295334
326,52,0,1,0,22,0,0,0.14956638022622123
327,52,18,0,0,48,1,0,0.8571079466561109
328,42,0,0,0,22,0,0,0.30104511641979725
329,37,0,1,0,22,0,0,0.3673856850901893
330,32,8,1,0,53,0,0,0.9997281482433351
331,54,0,1,0,22,0,0,0.13265437522148338
332,51,1,1,1,42,0,0,0.48413503240632666
333,85,0,0,1,29,0,0,0.03142976182558123
334,81,2,0,1,39,0,1,0.08374315661158573
335,36,14,0,1,43,1,0,0.9801581803879473
336,4,0,1,0,32,1,0,0.999843101062613
337,58,0,1,1,22,1,0,0.08126818162342302
338,40,0,0,0,22,1,0,0.29216801690723415
339,76,0,1,1,22,1,0,0.02759833033487479
340,49,0,1,0,34,1,0,0.31643559630434964
341,32,10,1,0,50,0,0,0.9994530097780195
342,53,0,1,0,37,1,0,0.29805685641923396
343,27,7,1,0,77,0,1,0.9999999696186834
344,23,7,0,0,37,0,1,0.9990991236731036
345,36,0,1,0,48,1,0,0.9819466616132445
346,40,17,0,0,42,0,0,0.9810723283599605
347,57,0,0,1,22,1,0,0.0953690117366021
348,45,0,0,0,22,1,0,0.2165150570958281
349,80,5,1,1,36,0,1,0.07136124314416518
350,36,0,0,0,22,1,0,0.37105251078499857
351,73,0,0,1,27,1,0,0.04929167589185171
352,57,9,1,1,45,0,1,0.5230957953250198
353,37,0,0,1,22,0,1,0.40567231589546193
354,57,14,0,1,80,0,1,0.9999503040445016
355,68,19,1,0,51,0,1,0.5230957953250196
356,44,0,0,0,27,1,0,0.31018848441132474
357,42,7,0,0,39,1,0,0.7746133468845274
358,48,0,0,0,24,0,1,0.2617812543554409
359,45,3,0,0,51,0,1,0.9857732322630426
360,41,5,1,0,80,1,0,0.9999964884339334
361,54,0,0,1,22,0,1,0.14660497631018649
362,58,0,0,0,31,1,0,0.17032810471763993
363,63,16,1,0,42,1,0,0.30406296106894687
364,35,10,0,0,50,0,0,0.9991846439294417
365,32,4,0,0,51,0,0,0.999552029119681
366,81,2,1,1,27,1,0,0.028724639541893447
367,35,0,1,0,22,1,0,0.35659430976853135
368,30,16,1,0,45,0,1,0.999552029119681
369,55,0,1,0,22,1,0,0.10752812098805067
370,86,17,0,1,78,1,0,0.6592818021525413
371,55,0,1,1,30,0,0,0.1826760908964205
372,77,0,0,1,22,1,0,0.028724639541893447
373,50,0,1,0,22,0,1,0.1863655952866528
374,66,16,1,0,54,1,0,0.518088980557018
375,71,0,0,1,22,0,1,0.052865724372435835
376,93,0,0,1,22,0,0,0.012778387648665034
377,56,19,0,0,80,1,0,0.9999527274011496
378,73,14,0,1,37,0,1,0.15258758130739972
379,75,0,0,0,26,0,1,0.058425658009287194
380,21,14,1,0,42,0,1,0.9999094591615494
381,63,2,0,0,31,0,0,0.15258758130739972
382,65,0,1,1,22,1,0,0.05339703350930955
383,74,3,0,1,51,0,0,0.24167414874703724
384,88,16,1,1,80,1,0,0.5915336870312435
385,79,6,0,1,40,1,0,0.08458478575544111
386,73,7,0,1,30,0,1,0.08716076377048718
387,44,0,0,0,22,1,0,0.2298959469023475
388,14,0,1,0,22,1,0,0.9464698939185858
389,62,9,1,0,48,0,1,0.5131208678216866
390,67,7,0,1,42,0,0,0.23220491051954098
391,54,10,0,1,58,0,0,0.9669995915891734
392,89,0,1,1,22,1,0,0.012651240567185272
393,32,10,1,0,38,0,1,0.9882628587457177
394,42,9,0,0,51,0,0,0.9946230890117123
395,33,16,0,0,42,0,0,0.9973081634236943
396,34,10,1,0,48,0,1,0.9989003243050258
397,68,15,0,1,37,0,0,0.1901295309632269
398,75,8,0,1,80,1,0,0.9417535188426959
399,60,9,0,0,78,1,0,0.9992243168763199
400,93,3,1,1,63,0,1,0.15881421693792255
401,52,0,1,0,22,1,0,0.12873399325822363
402,62,5,1,0,50,0,1,0.5332244728899311
403,65,4,1,1,57,0,1,0.5970359516648925
404,89,0,0,1,22,1,0,0.013981783151844106
405,73,4,1,0,70,1,0,0.6824644575781639
406,58,5,1,1,50,0,0,0.5539324366133592
407,36,0,1,0,22,1,0,0.3359283383841722
408,62,0,1,1,31,0,0,0.12745311257782097
409,41,0,1,0,22,0,1,0.3196054297484027
410,49,0,0,0,22,1,0,0.17032810471763993
411,39,14,0,0,57,0,1,0.9998649469801634
412,73,0,0,1,22,0,1,0.046887693094869516
413,80,5,1,1,59,0,1,0.2835499660749407
414,56,0,0,0,22,0,0,0.13002774425825922
415,59,16,0,1,61,1,0,0.9367008780600521
416,69,0,1,1,23,0,0,0.05181891330050692
417,80,3,0,1,41,1,0,0.07965896918377717
418,56,0,0,0,22,1,0,0.1119163556142721
419,74,1,1,1,31,1,0,0.05447572464224142
420,65,18,0,1,58,0,1,0.8429302632536112
421,57,0,0,1,22,0,0,0.11080278824580334
422,77,0,1,1,22,1,0,0.02599112871709856
423,54,0,0,0,22,0,1,0.16202213262900686
424,63,1,0,0,51,1,0,0.4262059105533119
425,50,3,1,1,55,0,1,0.9529415681783584
426,90,11,0,1,34,0,1,0.043282796586977514
427,74,8,0,1,53,0,1,0.332599675239273
428,45,10,0,0,78,0,1,0.999997760918072
429,23,0,1,0,22,1,0,0.7057492368949729
430,48,3,1,1,45,0,0,0.6999263609063858
431,58,0,0,1,22,0,0,0.10435022653255309
432,60,0,0,0,22,1,0,0.08803673946835368
433,55,2,1,1,41,1,0,0.31643559630434953
434,65,3,1,1,45,0,0,0.2617812543554409
435,63,16,1,1,80,0,1,0.9995946073690396
436,64,0,0,0,22,0,0,0.08045955248743827
437,61,0,0,0,22,1,0,0.08290990161167264
438,68,18,0,1,80,0,1,0.9990991236731036
439,90,0,1,1,22,1,0,0.01191448967221753
440,79,0,0,1,22,1,0,0.025476469891996343
441,36,19,1,0,54,1,0,0.9995290935889088
442,51,1,0,0,23,0,0,0.19012953096322685
443,53,2,0,1,61,0,0,0.977160946945837
444,69,10,0,1,54,1,0,0.3860752822675032
445,31,0,0,0,22,0,0,0.5752165431164245
446,47,19,0,1,45,0,1,0.9529415681783584
447,58,14,0,1,37,0,1,0.37475462563138967
448,76,16,1,1,38,1,0,0.09926106026361195
449,46,11,1,0,65,0,0,0.9996331431423213
450,100,14,0,1,80,1,0,0.3101884844113246
451,46,0,0,0,22,0,1,0.2617812543554409
452,67,0,1,0,22,0,0,0.060810052512160324
453,47,9,0,0,47,0,0,0.9340448945425606
454,66,0,1,1,34,0,0,0.1200310303785537
455,63,15,0,0,68,0,0,0.9903295917351875
456,84,2,0,1,50,1,0,0.10539895037218693
457,59,0,0,0,23,0,0,0.11532465052878137
458,28,10,0,0,45,0,0,0.999552029119681
459,6,7,0,0,43,1,0,0.9999968226004416
460,74,2,0,1,37,0,0,0.10228397769281868
461,79,0,1,1,22,1,0,0.02305206325721398
462,50,13,1,0,47,0,0,0.8616730849810417
463,98,0,1,1,33,0,0,0.01657267539761757
464,71,15,0,1,51,0,1,0.4056723158954618
465,54,15,1,1,42,0,0,0.5332244728899309
466,51,0,1,0,22,0,1,0.17551455335976962
467,48,1,0,0,62,0,0,0.9973081634236943
468,74,0,0,1,22,0,0,0.03995505744696089
469,28,2,0,0,64,0,1,0.9999979739935945
470,68,0,1,1,29,0,0,0.07886635166450544
471,24,7,1,0,73,1,0,0.9999998568593812
472,51,11,0,0,72,0,1,0.9999258677815178
473,32,0,0,0,25,1,0,0.5592008122312307
474,65,9,1,1,80,0,1,0.9985173014554783
475,72,7,0,0,65,1,0,0.6363306755796263
476,52,18,0,0,59,1,0,0.9916432356686808
477,51,0,0,0,31,0,0,0.30104511641979725
478,42,10,1,0,37,0,1,0.8229865699586043
479,68,2,1,1,24,0,0,0.060810052512160304
480,49,3,1,0,80,0,1,0.9999864548031363
481,33,0,0,0,22,0,1,0.564504702380695
482,53,16,1,0,76,1,0,0.9998580256124495
483,75,15,1,1,37,1,0,0.09729557742507763
484,16,0,0,0,22,1,0,0.9417535188426958
485,51,0,0,1,22,1,0,0.13669412065304312
486,90,0,1,1,22,0,1,0.015298507564161477
487,83,0,0,1,22,1,0,0.020040501048727708
488,56,14,0,1,49,0,0,0.7462784481949908
489,85,17,1,1,80,1,0,0.7057492368949728
490,77,1,1,1,32,0,1,0.06203849597491828
491,65,0,1,1,25,0,1,0.08208493744357148
492,70,0,1,1,22,0,1,0.050792830430548344
493,43,7,0,0,62,0,1,0.999798564699968
494,61,14,1,0,42,0,1,0.42202299914686
495,49,18,1,1,52,1,0,0.936700878060052
496,83,7,1,1,41,1,0,0.06521927427644578
497,57,12,0,0,70,0,1,0.9992620637236066
498,81,18,0,1,78,0,0,0.9024851434336197
499,41,2,1,0,62,1,0,0.9989537880314066
500,29,2,1,0,45,1,0,0.9953616974296078
501,75,0,0,1,38,0,0,0.09827340544849075
502,66,0,0,1,28,0,0,0.09255045181967807
503,35,0,1,0,22,0,0,0.4137718612115758
504,22,0,0,0,22,0,1,0.909540823085079
505,85,7,0,1,60,0,1,0.2566036426497901
506,75,0,0,1,22,0,0,0.037628256239481864
507,42,0,1,0,22,1,0,0.23453698512080798
508,70,18,1,1,61,0,0,0.6650604423820063
509,61,2,1,0,29,0,0,0.13806785183658513
510,14,0,0,0,22,0,0,0.9827827106404472
511,32,14,1,0,66,0,0,0.9999969775626416
512,97,4,0,1,62,0,0,0.1200310303785537
513,76,4,1,1,58,1,0,0.2591795954306244
514,50,0,0,0,22,0,0,0.1863655952866528
515,80,8,0,1,50,0,0,0.17551455335976962
516,10,0,0,0,22,0,1,0.9967180280322437
517,87,0,0,1,22,0,0,0.018315638881183906
518,42,0,1,0,24,1,0,0.26440886650878764
519,58,0,0,0,22,0,0,0.11532465052878141
520,53,12,0,1,56,0,1,0.977160946945837
521,49,10,1,0,32,0,1,0.4389861701621981
522,70,1,0,1,71,0,0,0.8616730849810419
523,86,17,1,1,71,0,0,0.4656016478888593
524,38,3,0,0,66,0,1,0.9999797933446171
525,60,0,1,0,24,0,1,0.11532465052878137
526,66,0,1,1,30,1,0,0.08126818162342297
527,22,0,1,0,22,0,1,0.8705505632961241
528,76,1,0,1,54,1,0,0.21222969370459188
529,30,12,0,0,56,0,0,0.9999753198666148
530,36,8,1,0,66,1,0,0.9999612954746151
531,75,6,0,1,32,0,0,0.07730469775920903
532,49,0,1,0,22,1,0,0.15412098126923027
533,27,12,0,0,54,1,0,0.9999612954746151
534,79,0,1,1,22,0,1,0.02959943503338943
535,51,0,1,0,22,1,0,0.13669412065304312
536,87,1,0,1,36,0,0,0.04328279658697753
537,72,5,1,1,48,0,0,0.2143616911823068
538,97,19,1,1,62,0,1,0.1620221326290068
539,33,0,1,0,22,0,1,0.5131208678216866
540,59,0,1,1,36,0,0,0.20595982881390143
541,83,0,0,1,22,0,0,0.023283740343029623
542,29,6,1,0,30,0,1,0.9340448945425606
543,100,0,1,1,29,0,1,0.012778387648665025
544,41,0,1,0,33,1,0,0.4794422547027225
545,98,11,1,1,72,0,1,0.23689239714035218
546,66,5,1,1,78,0,1,0.9946230890117123
547,77,12,1,1,80,0,0,0.9441529855311421
548,35,1,1,0,44,0,0,0.9810723283599605
549,81,0,1,1,22,0,1,0.026252343900218522
550,74,0,0,1,31,0,1,0.07577396616544713
551,74,0,0,1,23,0,0,0.04242573991422129
552,77,0,1,0,22,0,0,0.03337326968399956
553,63,6,1,1,52,0,0,0.4747891020690959
554,57,7,0,0,74,0,1,0.9996331431423213
555,74,0,0,1,22,1,0,0.0343896370126498
556,36,10,1,0,80,0,0,0.9999997755108782
557,72,12,0,1,36,1,0,0.11417717380161829
